param_n_neighbors,param_weights,param_p,mean_test_score,rank_test_score
408,distance,2,0.75125,621
396,distance,2,0.75125,621
410,distance,1,0.75125,621
398,distance,1,0.75125,621
411,uniform,2,0.75125,621
413,uniform,1,0.75125,621
398,uniform,1,0.75125,621
400,uniform,2,0.75125,621
411,distance,1,0.75125,621
400,distance,2,0.75125,621
397,distance,2,0.75125,621
411,uniform,1,0.75125,621
410,distance,2,0.75125,621
401,uniform,1,0.75125,621
397,uniform,2,0.75125,621
410,uniform,2,0.75125,621
401,distance,1,0.75125,621
401,uniform,2,0.75125,621
397,distance,1,0.75125,621
397,uniform,1,0.75125,621
401,distance,2,0.75125,621
394,distance,1,0.75125,621
408,uniform,2,0.75125,621
403,uniform,1,0.75125,621
391,distance,2,0.75125,621
405,distance,1,0.75125,621
405,uniform,2,0.75125,621
391,uniform,2,0.75125,621
391,distance,1,0.75125,621
405,distance,2,0.75125,621
400,distance,1,0.75125,621
391,uniform,1,0.75125,621
390,distance,2,0.75125,621
371,distance,1,0.75125,621
407,distance,1,0.75125,621
390,uniform,2,0.75125,621
390,distance,1,0.75125,621
400,uniform,1,0.75125,621
407,uniform,1,0.75125,621
390,uniform,1,0.75125,621
389,distance,2,0.75125,621
392,uniform,1,0.75125,621
405,uniform,1,0.75125,621
404,distance,2,0.75125,621
392,distance,1,0.75125,621
408,distance,1,0.75125,621
394,uniform,1,0.75125,621
403,distance,1,0.75125,621
408,uniform,1,0.75125,621
403,uniform,2,0.75125,621
393,distance,2,0.75125,621
407,distance,2,0.75125,621
403,distance,2,0.75125,621
389,distance,1,0.75125,621
407,uniform,2,0.75125,621
404,uniform,1,0.75125,621
393,distance,1,0.75125,621
404,distance,1,0.75125,621
393,uniform,1,0.75125,621
392,distance,2,0.75125,621
398,distance,2,0.75125,621
404,uniform,2,0.75125,621
392,uniform,2,0.75125,621
393,uniform,2,0.75125,621
412,uniform,1,0.75125,621
250,distance,1,0.75125,621
370,distance,2,0.75125,621
343,distance,1,0.75125,621
343,uniform,1,0.75125,621
342,distance,2,0.75125,621
342,uniform,2,0.75125,621
342,distance,1,0.75125,621
342,uniform,1,0.75125,621
341,distance,2,0.75125,621
341,uniform,2,0.75125,621
341,distance,1,0.75125,621
341,uniform,1,0.75125,621
340,distance,2,0.75125,621
340,uniform,2,0.75125,621
340,distance,1,0.75125,621
340,uniform,1,0.75125,621
339,distance,2,0.75125,621
339,uniform,2,0.75125,621
339,distance,1,0.75125,621
343,uniform,2,0.75125,621
343,distance,2,0.75125,621
344,uniform,1,0.75125,621
344,distance,1,0.75125,621
348,distance,2,0.75125,621
348,uniform,2,0.75125,621
348,distance,1,0.75125,621
348,uniform,1,0.75125,621
347,distance,2,0.75125,621
347,uniform,2,0.75125,621
347,distance,1,0.75125,621
347,uniform,1,0.75125,621
339,uniform,1,0.75125,621
346,distance,2,0.75125,621
346,distance,1,0.75125,621
346,uniform,1,0.75125,621
345,distance,2,0.75125,621
345,uniform,2,0.75125,621
345,distance,1,0.75125,621
345,uniform,1,0.75125,621
344,distance,2,0.75125,621
344,uniform,2,0.75125,621
346,uniform,2,0.75125,621
338,distance,2,0.75125,621
338,uniform,2,0.75125,621
338,distance,1,0.75125,621
332,distance,2,0.75125,621
332,uniform,2,0.75125,621
332,distance,1,0.75125,621
332,uniform,1,0.75125,621
331,distance,2,0.75125,621
331,uniform,2,0.75125,621
331,distance,1,0.75125,621
331,uniform,1,0.75125,621
333,uniform,1,0.75125,621
330,distance,2,0.75125,621
330,distance,1,0.75125,621
330,uniform,1,0.75125,621
329,distance,2,0.75125,621
329,uniform,2,0.75125,621
329,distance,1,0.75125,621
329,uniform,1,0.75125,621
328,distance,2,0.75125,621
328,uniform,2,0.75125,621
330,uniform,2,0.75125,621
349,uniform,1,0.75125,621
333,distance,1,0.75125,621
333,distance,2,0.75125,621
338,uniform,1,0.75125,621
337,distance,2,0.75125,621
337,uniform,2,0.75125,621
337,distance,1,0.75125,621
337,uniform,1,0.75125,621
336,distance,2,0.75125,621
336,uniform,2,0.75125,621
